character_id,skill_slug,level,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8
acheron,base_atop_rainleaf_hangs_oneness,1,9,0.1,,,,,,
acheron,base_atop_rainleaf_hangs_oneness,2,9,0.11,,,,,,
acheron,base_atop_rainleaf_hangs_oneness,3,9,0.12,,,,,,
acheron,base_atop_rainleaf_hangs_oneness,4,9,0.13,,,,,,
acheron,base_atop_rainleaf_hangs_oneness,5,9,0.14,,,,,,
acheron,base_atop_rainleaf_hangs_oneness,6,9,0.15,,,,,,
acheron,base_atop_rainleaf_hangs_oneness,7,9,0.1625,,,,,,
acheron,base_atop_rainleaf_hangs_oneness,8,9,0.175,,,,,,
acheron,base_atop_rainleaf_hangs_oneness,9,9,0.1875,,,,,,
acheron,base_atop_rainleaf_hangs_oneness,10,9,0.2,,,,,,
acheron,base_atop_rainleaf_hangs_oneness,11,9,0.21,,,,,,
acheron,base_atop_rainleaf_hangs_oneness,12,9,0.22,,,,,,
acheron,base_atop_rainleaf_hangs_oneness,13,9,0.23,,,,,,
acheron,base_atop_rainleaf_hangs_oneness,14,9,0.24,,,,,,
acheron,base_atop_rainleaf_hangs_oneness,15,9,0.25,,,,,,
acheron,base_octobolt_flash,1,0.8,0.3,1,,,,,
acheron,base_octobolt_flash,2,0.88,0.33,1,,,,,
acheron,base_octobolt_flash,3,0.96,0.36,1,,,,,
acheron,base_octobolt_flash,4,1.04,0.39,1,,,,,
acheron,base_octobolt_flash,5,1.12,0.42,1,,,,,
acheron,base_octobolt_flash,6,1.2,0.45,1,,,,,
acheron,base_octobolt_flash,7,1.3,0.4875,1,,,,,
acheron,base_octobolt_flash,8,1.4,0.525,1,,,,,
acheron,base_octobolt_flash,9,1.5,0.5625,1,,,,,
acheron,base_octobolt_flash,10,1.6,0.6,1,,,,,
acheron,base_octobolt_flash,11,1.68,0.63,1,,,,,
acheron,base_octobolt_flash,12,1.76,0.66,1,,,,,
acheron,base_octobolt_flash,13,1.84,0.69,1,,,,,
acheron,base_octobolt_flash,14,1.92,0.72,1,,,,,
acheron,base_octobolt_flash,15,2,0.75,1,,,,,
acheron,base_quadrivalent_ascendance,1,2,1,,,,,,
acheron,base_slashed_dream_cries_in_red,1,0.144,0.09,0.72,9,0.36,2.232,1.8,
acheron,base_slashed_dream_cries_in_red,2,0.1536,0.096,0.768,9,0.384,2.3808,1.92,
acheron,base_slashed_dream_cries_in_red,3,0.1632,0.102,0.816,9,0.408,2.5296,2.04,
