character_id,skill_slug,skill_name,skill_form,skill_type,skill_tag,energy_gen,skill_point_cost,wb_single,wb_aoe,wb_bounce,max_level,description
acheron,base_trilateral_wiltcross,Trilateral Wiltcross,base,Basic ATK,Single ATK,0,0,30,0,0,10,Deals Lightning DMG equal to 140% of Acheron's ATK to one designated enemy target.
acheron,base_octobolt_flash,Octobolt Flash,base,Skill,Blast,0,1,60,0,30,15,"Gains 1 point(s) of ""Slashed Dream."" Inflicts 1 stack(s) of ""Crimson Knot"" on one designated enemy target, dealing Lightning DMG equal to 200% of Acheron's ATK to this target, as well as Lightning DMG equal to 75% of Acheron's ATK to adjacent targets."
acheron,base_atop_rainleaf_hangs_oneness,Atop Rainleaf Hangs Oneness,base,Talent,Enhance,0,0,0,0,0,15,"When Slashed Dream reaches 9 point(s), the Ultimate can be activated. During the Ultimate, reduces enemies' Toughness regardless of Weakness Types and reduces all enemies' All-Type RES by 25%, lasting until the end of the Ultimate. When any unit inflicts debuffs on an enemy target while using their ability, Acheron gains 1 point of Slashed Dream and inflicts 1 stack of Crimson Knot on a target. If debuffs are inflicted on multiple targets, then the 1 stack of Crimson Knot will be inflicted on the enemy target with the most Crimson Knot stacks. This effect can only trigger once for every ability use. After an enemy target exits the field or gets defeated by any unit while Acheron is on the field, their Crimson Knot stacks will be transferred to the enemy target with the most Crimson Knot stacks on the whole field."
acheron,base_quadrivalent_ascendance,Quadrivalent Ascendance,base,Technique,Maze ATK,0,0,60,0,0,1,"Immediately attacks the enemy. At the start of each wave, gains Quadrivalent Ascendance, dealing Lightning DMG equal to 200% of Acheron's ATK to all enemies and reducing Toughness of all enemies irrespective of Weakness Types. When breaking Weaknesses, triggers the Lightning Weakness Break effect. Quadrivalent Ascendance: After using the Ultimate, Acheron gains 1 point(s) of Slashed Dream and inflicts 1 stack(s) of Crimson Knot on a single random enemy. If attacking a normal enemy, immediately defeats them without entering combat. When not hitting enemies, no Technique Points are consumed."
acheron,base_slashed_dream_cries_in_red,Slashed Dream Cries in Red,base,Ultimate,AoE ATK,0,0,0,0,0,15,"Sequentially unleash ""Rainblade"" 3 times and ""Stygian Resurge"" 1 time, dealing Lightning DMG up to 446.4% of Acheron's ATK to one designated enemy target, as well as Lightning DMG up to 360% of Acheron's ATK to other targets. ""Rainblade"": Deals Lightning DMG equal to 28.8% of Acheron's ATK to one designated enemy target and removes up to 3 stacks of ""Crimson Knot"" from the target. When ""Crimson Knot"" is removed, immediately deals Lightning DMG equal to 18% of Acheron's ATK to all enemies. For every stack of ""Crimson Knot"" removed, this DMG Multiplier is additionally increased, up to a maximum of 72%. ""Stygian Resurge"": Deals Lightning DMG equal to 144% of Acheron's ATK to all enemies and remove all ""Crimson Knots."" ""Crimson Knot"" cannot be applied to enemies during the Ultimate."
acheron,enhanced_rainblade_1,Rainblade,enhanced,Ultimate,AoE ATK,0,0,15,15,0,15,
acheron,enhanced_rainblade_2,Rainblade,enhanced,Ultimate,AoE ATK,0,0,15,15,0,15,
acheron,enhanced_rainblade_3,Rainblade,enhanced,Ultimate,AoE ATK,0,0,15,15,0,15,
acheron,enhanced_stygian_resurge,Stygian Resurge,enhanced,Ultimate,AoE ATK,0,0,0,15,0,15,
aglaea,base_thorned_nectar,Thorned Nectar,base,Basic ATK,Single ATK,20,0,30,0,0,10,Deals Lightning DMG equal to 140% of Aglaea's ATK to one designated enemy.
aglaea,base_rise_exalted_renown,"Rise, Exalted Renown",base,Skill,Summon,20,1,0,0,0,15,"Restores HP to Garmentmaker by 62.5% of its Max HP. If Garmentmaker is absent, then summons the memosprite Garmentmaker and makes this unit immediately take action."
aglaea,base_rosy_fingered,Rosy-Fingered,base,Talent,Enhance,10,0,0,0,0,15,"The memosprite Garmentmaker has an initial SPD equal to 35% of Aglaea's SPD and a Max HP equal to 77% of Aglaea's Max HP plus 990. While Garmentmaker is on the field, Aglaea's attacks inflict the target with the ""Seam Stitch"" state. After attacking enemies in the ""Seam Stitch"" state, further deals Lightning Additional DMG equal to 39% of Aglaea's ATK. ""Seam Stitch"" only takes effect on the most recently inflicted target."
